week,nb_sold,revenue,sales_method
2,10,96.87888059701493,1
5,11,52.55,0
4,11,96.58468571428573,1
3,9,90.49,1
6,13,65.01,0
4,11,113.38,1
1,10,99.94,1
5,11,108.34,1
5,11,53.82,0
3,9,89.49,1
2,9,45.42,0
5,11,53.42,0
2,10,101.54,1
5,10,51.87,0
4,10,104.22,1
2,10,96.76844827586208,1
1,8,82.01,1
1,9,90.93,1
1,9,90.51,1
1,9,128.87,2
3,9,94.53,1
2,8,42.43,0
5,11,53.84,0
2,10,102.22,1
3,10,153.07,2
5,12,97.3725,1
4,10,50.68,0
2,9,43.13,0
3,9,44.11,0
1,9,96.87888059701493,1
3,8,40.17,0
5,11,111.88,1
2,10,101.22,1
5,10,52.15,0
2,9,43.01,0
5,10,97.6086046511628,1
3,9,86.51,1
1,8,84.23,1
5,11,53.9,0
5,10,104.16,1
1,10,95.02,1
5,10,103.87,1
6,13,65.24,0
4,11,105.56,1
3,10,98.28,1
3,8,40.75,0
5,10,50.48,0
3,9,88.56,1
5,11,54.33,0
1,7,34.98,0
2,9,44.3,0
2,10,95.24,1
1,9,89.56,1
1,9,86.9,1
5,11,53.14,0
5,11,55.07,0
2,11,105.92,1
1,8,82.72,1
4,11,106.51,1
3,8,41.25,0
1,9,89.01,1
3,8,40.76,0
4,11,109.52,1
5,10,102.82,1
5,10,52.44,0
5,11,53.25,0
1,9,88.07,1
3,8,41.06,0
3,9,91.53,1
1,8,84.77,1
2,9,46.41,0
5,10,104.46,1
2,10,48.98,0
2,10,153.87,2
4,11,52.54,0
4,11,113.84,1
5,11,105.44,1
5,10,52.44,0
1,7,33.63,0
1,8,82.94,1
1,8,83.71,1
2,10,100.38,1
4,11,107.1,1
1,8,81.98,1
4,11,53.08,0
4,10,51.82,0
2,10,102.27,1
5,10,51.57,0
4,12,180.18,2
5,12,185.41,2
3,9,93.4,1
1,9,91.94,1
2,9,42.62,0
6,14,68.64,0
3,11,97.0785026737968,1
1,9,93.06,1
2,11,184.0858823529412,2
2,10,101.48,1
3,8,40.49,0
1,7,33.63,0
4,12,181.73,2
3,8,40.41,0
1,9,86.29,1
4,12,178.99,2
1,8,83.7,1
2,10,96.02,1
1,8,84.64,1
3,9,91.37,1
1,8,84.27,1
5,10,104.17,1
6,13,66.53,0
1,8,84.76,1
4,11,110.57,1
1,7,34.98,0
1,8,82.24,1
4,10,50.35,0
2,10,98.09,1
5,10,51.8,0
5,12,184.17,2
4,10,50.27,0
3,8,40.9,0
1,7,34.32,0
4,10,50.44,0
5,12,181.50791666666663,2
5,10,52.27,0
3,11,112.72,1
4,10,51.62,0
1,9,129.68,2
1,8,83.36,1
3,9,88.62,1
3,9,93.86,1
2,9,46.56,0
3,9,94.73,1
3,10,95.19,1
4,12,176.95,2
3,10,149.44,2
4,10,49.9,0
2,10,96.02,1
3,8,39.82,0
3,10,148.64,2
1,9,86.22,1
5,10,51.93,0
3,9,91.56,1
3,9,93.02,1
2,10,96.16,1
1,8,84.69,1
1,9,91.2,1
3,10,154.73,2
2,10,101.69,1
3,10,146.05,2
4,10,51.62,0
1,8,84.19,1
1,9,87.71,1
5,11,52.9,0
4,11,113.15,1
4,11,107.23,1
2,9,45.47,0
4,10,50.82,0
4,10,103.78,1
1,8,80.72,1
2,10,97.15,1
5,12,117.27,1
4,11,105.09,1
5,11,105.88,1
4,10,98.73285714285714,1
1,7,36.17,0
5,13,179.60489795918366,2
2,10,100.96,1
2,10,100.32,1
5,11,52.54,0
2,9,44.72,0
6,13,132.01,1
2,10,98.94,1
4,11,109.48,1
1,9,100.7490243902439,1
2,10,96.91,1
5,11,52.76,0
1,8,97.59562841530057,1
2,11,106.49,1
5,10,51.33,0
1,7,34.45,0
1,9,90.36,1
1,9,88.37,1
1,7,36.62,0
3,9,45.31,0
3,9,88.14,1
1,8,126.14,2
4,11,110.87,1
1,8,181.50791666666663,2
4,10,103.74,1
4,10,50.91,0
3,9,90.44,1
2,9,45.05,0
4,12,179.35,2
1,8,83.28,1
4,10,50.28,0
2,10,95.06,1
4,12,179.09,2
2,10,103.02,1
4,12,181.34,2
5,11,55.11,0
2,9,44.02,0
4,10,52.47,0
2,11,105.69,1
5,12,184.15,2
3,9,93.92,1
3,9,90.41,1
3,9,89.07,1
1,9,91.92,1
1,9,85.56,1
1,9,87.07,1
1,8,81.99,1
5,10,97.67141203703704,1
2,9,44.12,0
1,8,82.34,1
4,10,52.31,0
3,8,41.75,0
1,8,81.89,1
4,11,107.74,1
1,9,90.49,1
3,9,93.1,1
4,12,116.06,1
1,9,87.56,1
1,8,82.56,1
4,10,51.93,0
3,9,91.59,1
5,11,112.96,1
3,8,40.54,0
1,8,83.0,1
4,11,53.57,0
1,7,36.61,0
3,8,41.0,0
3,8,40.66,0
1,9,85.2,1
4,12,176.67,2
1,7,34.06,0
3,9,88.6,1
3,9,92.7,1
1,9,96.5740776699029,1
5,11,53.27,0
3,9,44.15,0
6,13,67.2,0
1,7,35.31,0
2,11,111.75,1
1,8,82.35,1
6,13,64.84,0
2,10,99.22,1
3,10,96.29,1
1,8,83.56,1
6,13,64.97,0
3,8,41.18,0
2,8,41.3,0
1,10,96.06,1
3,9,91.46,1
4,10,50.9,0
2,10,98.22,1
5,11,105.66,1
4,12,182.25,2
5,11,52.68,0
3,9,91.57,1
2,9,44.56,0
6,13,65.86,0
4,12,115.05,1
2,10,99.21,1
1,7,47.89631239935588,0
3,10,101.69,1
4,11,53.08,0
4,11,53.37,0
4,11,105.84,1
2,10,95.95,1
4,12,182.42,2
4,10,50.9,0
1,9,88.34,1
3,8,42.0,0
